Id,UPC/SKU,Name,Description,Type,Price,Cost,MSRP,OnHand,Location,MinQty,Taxable1,Taxable2,GroupAtSale,Active,Categories,Favorites,Notes,NotesType
"513","","Bounty small 24x57g","","S",9,7.5,0,0,"",0,N,N,N,Y,"Chocolate",,"",S
"514","","Bounty trio x21","","S",12,9.5,0,0,"",0,N,N,N,Y,"Chocolate",,"",S
"515","","Ferrero rocher t3 x16","","S",10,7.35,0,0,"",0,N,N,N,Y,"Chocolate",,"",S
"516","","Raffaello t4 x16","","S",10,7.5,0,0,"",0,N,N,N,Y,"Chocolate",,"",S
"517","","Milkybar medium bars 40x25g","","S",14.5,12.5,0,0,"",0,N,N,N,Y,"Chocolate",,"",S
"518","","Kitkat cookie dough 24x42g","","S",10,8,0,0,"",0,N,N,N,Y,"Chocolate",,"",S
"519","","Milka Oreo 20x100g","","S",13,10,0,0,"",0,N,N,N,Y,"Chocolate",,"",S
"520","","Milka daim 20x100g","","S",13,10,0,0,"",0,N,N,N,Y,"Chocolate",,"",S
"521","","Milka hazelnut 20x100g","","S",13,10,0,0,"",0,N,N,N,Y,"Chocolate",,"",S
"522","","Milka strawberry 20x100g","","S",13,10,0,0,"",0,N,N,N,Y,"Chocolate",,"",S
"523","","Cadbury finger 129pm 12x114g","","S",11,8.39,0,0,"",0,N,N,N,Y,"Biscuits",,"",S
"524","","Always ultra long 14's x12","","S",16.8,0,0,0,"",0,N,N,N,Y,"Pil+condom+pet",,"",S
"525","","Always ultra normal £2.29pm x16","","S",25,22,0,0,"",0,N,N,N,Y,"Pil+condom+pet",,"",S
"526","","Always ultra long 16's x112","","S",16,0,0,0,"",0,N,N,N,Y,"Pil+condom+pet",,"",S
"527","","Always classic  normal 10's x16","","S",16,0,0,0,"",0,N,N,N,Y,"Pil+condom+pet",,"",S
"528","","Always classic standard 10's x24","","S",16,13,0,0,"",0,N,N,N,Y,"Pil+condom+pet",,"",S
"529","","Always ultra night 7's x24","","S",24,0,0,0,"",0,N,N,N,Y,"Pil+condom+pet",,"",S
"530","","Always ultra super plus 8's x20","","S",20,0,0,0,"",0,N,N,N,Y,"Pil+condom+pet",,"",S
"531","","Always ultra night mega economy 28's x6","","S",13,0,0,0,"",0,N,N,N,Y,"Pil+condom+pet",,"",S
"532","","Always discreet fresh 34's x12","","S",12,0,0,0,"",0,N,N,N,Y,"Pil+condom+pet",,"",S
"533","","Always classic night 8's x16","","S",15,0,0,0,"",0,N,N,N,Y,"Pil+condom+pet",,"",S
"534","","Always ultra thin 8's long x16","","S",16,0,0,0,"",0,N,N,N,Y,"Pil+condom+pet",,"",S
"535","","Always ultra thin 7's extra long x16","","S",16,0,0,0,"",0,N,N,N,Y,"Pil+condom+pet",,"",S
"536","","Always classic maxi 10's x8","","S",16,0,0,0,"",0,N,N,N,Y,"Pil+condom+pet",,"",S
"537","","Bodyform goodnight 10's x6","","S",8,0,0,0,"",0,N,N,N,Y,"Pil+condom+pet",,"",S
"538","","Bodyform super wings 12's x12","","S",13.5,0,0,0,"",0,N,N,N,Y,"Pil+condom+pet",,"",S
"539","","Bodyform normal wings 14's x12","","S",13.5,0,0,0,"",0,N,N,N,Y,"Pil+condom+pet",,"",S
"540","","Bodyform long wings 10's x12","","S",13,0,0,0,"",0,N,N,N,Y,"Pil+condom+pet",,"",S
"541","","Ultrex ultra fit 10's x12","","S",7,5.04,0,0,"",0,N,N,N,Y,"Pil+condom+pet",,"",S
"542","","Ultrex ultra slim 10's x12","","S",7,5.04,0,0,"",0,N,N,N,Y,"Pil+condom+pet",,"",S
"543","","Ultrex ultra plus 8's x12","","S",7,5.04,0,0,"",0,N,N,N,Y,"Pil+condom+pet",,"",S
"544","","Ultrex ultra night 8's x12","","S",7,5.04,0,0,"",0,N,N,N,Y,"Pil+condom+pet",,"",S
"545","","Tampax super plus 20's x8","","S",15,0,0,0,"",0,N,N,N,Y,"Pil+condom+pet",,"",S
"546","","Tampax super 20's x8","","S",15,0,0,0,"",0,N,N,N,Y,"Pil+condom+pet",,"",S
